NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,CODMUN,CodINE,PROVINCIA,LITMUN
34123232003,A Arnoia,ES1,ES11,ES113,32003,32003,Ourense,Arnoia A
34121515007,A Baña,ES1,ES11,ES111,15007,15007,Coruña A,Baña A
34123232014,A Bola,ES1,ES11,ES113,32014,32014,Ourense,Bola A
34123636009,A Cañiza,ES1,ES11,ES114,36009,36009,Pontevedra,Cañiza A
34121515018,A Capela,ES1,ES11,ES111,15018,15018,Coruña A,Capela A
34121515030,A Coruña,ES1,ES11,ES111,15030,15030,Coruña A,Coruña A
34123636017,A Estrada,ES1,ES11,ES114,36017,36017,Pontevedra,Estrada A
34122727018,A Fonsagrada,ES1,ES11,ES112,27018,27018,Lugo,Fonsagrada A
34123636023,A Guarda,ES1,ES11,ES114,36023,36023,Pontevedra,Guarda A
34123232034,A Gudiña,ES1,ES11,ES113,32034,32034,Ourense,Gudiña A
34123636901,A Illa de Arousa,ES1,ES11,ES114,36901,36901,Pontevedra,Illa de Arousa A
34123636025,A Lama,ES1,ES11,ES114,36025,36025,Pontevedra,Lama A
34121515041,A Laracha,ES1,ES11,ES111,15041,15041,Coruña A,Laracha A
34123232047,A Merca,ES1,ES11,ES113,32047,32047,Ourense,Merca A
34123232048,A Mezquita,ES1,ES11,ES113,32048,32048,Ourense,Mezquita A
34122727044,A Pastoriza,ES1,ES11,ES112,27044,27044,Lugo,Pastoriza A
34123232059,A Peroxa,ES1,ES11,ES113,32059,32059,Ourense,Peroxa A
34123232063,A Pobra de Trives,ES1,ES11,ES113,32063,32063,Ourense,Pobra de Trives A
34122727047,A Pobra do Brollón,ES1,ES11,ES112,27047,27047,Lugo,Pobra do Brollón A
34121515067,A Pobra do Caramiñal,ES1,ES11,ES111,15067,15067,Coruña A,Pobra do Caramiñal A
34122727048,A Pontenova,ES1,ES11,ES112,27048,27048,Lugo,Pontenova A
34123232072,A Rúa,ES1,ES11,ES113,32072,32072,Ourense,Rúa A
34123232080,A Teixeira,ES1,ES11,ES113,32080,32080,Ourense,Teixeira A
34123232083,A Veiga,ES1,ES11,ES113,32083,32083,Ourense,Veiga A
34024444001,Ababuj,ES2,ES24,ES242,44001,44001,Teruel,Ababuj
34074040001,Abades,ES4,ES41,ES416,40001,40001,Segovia,Abades
34111010001,Abadía,ES4,ES43,ES432,10001,10001,Cáceres,Abadía
34122727001,Abadín,ES1,ES11,ES112,27001,27001,Lugo,Abadín
34070909001,Abajas,ES4,ES41,ES412,9001,9001,Burgos,Abajas
34172626001,Ábalos,ES2,ES23,ES230,26001,26001,Rioja La,Ábalos
34081919001,Abánades,ES4,ES42,ES424,19001,19001,Guadalajara,Abánades
34143030001,Abanilla,ES6,ES62,ES620,30001,30001,Murcia,Abanilla
34025050001,Abanto,ES2,ES24,ES243,50001,50001,Zaragoza,Abanto
34143030002,Abarán,ES6,ES62,ES620,30002,30002,Murcia,Abarán
34073434001,Abarca de Campos,ES4,ES41,ES414,34001,34001,Palencia,Abarca de Campos
34121515001,Abegondo,ES1,ES11,ES111,15001,15001,Coruña A,Abegondo
34074242001,Abejar,ES4,ES41,ES417,42001,42001,Soria,Abejar
34024444002,Abejuela,ES2,ES24,ES242,44002,44002,Teruel,Abejuela
34092525001,Abella de la Conca,ES5,ES51,ES513,25001,25001,Lleida,Abella de la Conca
34080202001,Abengibre,ES4,ES42,ES421,2001,2001,Albacete,Abengibre
34081313001,Abenójar,ES4,ES42,ES422,13001,13001,Ciudad Real,Abenójar
34111010002,Abertura,ES4,ES43,ES432,10002,10002,Cáceres,Abertura
34074949002,Abezames,ES4,ES41,ES419,49002,49002,Zamora,Abezames
34081616001,Abia de la Obispalía,ES4,ES42,ES423,16001,16001,Cuenca,Abia de la Obispalía
